"순번","시군구코드","건물군일련번호","도로명코드","도로구간일련번호","기초구간일련번호","건물군명","건물군명영문","입력방법","위도","경도"
"35","11110","285","3100007","683","3819","법련사"," ","1","37.5768665","126.9800736"
"37","11110","166","4100380","1471","11848"," "," ","1","37.5777112","127.0160449"
"38","11110","175","4100174","413","1852"," "," ","1","37.58473","126.9997002"
"40","11110","182","4100021","434","1982","동인교회"," ","1","37.5723823","127.0096855"
"41","11110","187","3005007","534","2720","남부교회"," ","1","37.5790055","127.0148552"
"43","11110","204","4100240","459","2227"," "," ","1","37.5756183","126.9910022"
"44","11110","210","4100405","468","2332"," "," ","1","37.5749035","126.9993222"
"46","11110","213","2100001","1837","14571"," "," ","1","37.5742347","126.9880818"
"47","11110","218","2100001","1933","16401"," "," ","1","37.5732713","126.9881993"
"48","11110","223","3100013","486","2425"," "," ","1","37.5703813","126.9998718"
"50","11110","229","4100315","509","2545"," "," ","1","37.5698109","126.9942456"
"51","11110","232","4100197","516","2598"," "," ","1","37.5721445","126.9902027"
"53","11110","238","3100010","545","2779"," "," ","1","37.5762363","127.0000859"
"54","11110","244","4100541","561","2883"," "," ","1","37.5903997","127.0007705"
"56","11110","249","4100412","568","2938"," "," ","1","37.5842867","126.9955962"
"57","11110","255","4100057","598","3067"," "," ","1","37.5710476","126.9903888"
"59","11110","263","4100045","623","3238"," "," ","1","37.5814027","126.999704"
"60","11110","267","4100045","623","3232"," "," ","1","37.5815045","127.000326"
"62","11110","75","3100002","391","1627"," "," ","1","37.582597","127.0015195"
"63","11110","106","3100022","690","4571"," "," ","1","37.5871849","127.0002088"
"65","11110","116","4100048","227","989"," "," ","1","37.5729731","126.9928663"
"2","11110","95","3100013","687","4527","동대문전골"," ","1","37.5731793","127.0171813"
"5","11110","108","4100418","1383","11108"," "," ","1","37.5886188","127.0024231"
"101","11110","8","3005007","1082","8269"," "," ","1","37.5705749","127.0156267"
"102","11110","10","3005007","1185","9132"," "," ","1","37.5775852","127.0146122"
"104","11110","20","4100351","15","167"," "," ","1","37.5728169","127.011917"
"105","11110","24","4100198","725","4912"," "," ","1","37.5734712","126.9897237"
"107","11110","28","4100198","725","4907"," "," ","1","37.5730167","126.9897293"
"108","11110","29","4100198","725","4912"," "," ","1","37.5735459","126.9899017"
"109","11110","36","4100198","725","4908"," "," ","1","37.5731236","126.9897277"
"111","11110","38","4100198","17","211"," "," ","1","37.5732158","126.9902662"
"112","11110","43","4100080","1488","11976"," "," ","1","37.5886761","126.9938231"
"113","11110","46","4100176","908","6733"," "," ","1","37.5847989","126.9950987"
"115","11110","56","3100021","1529","12253"," "," ","1","37.5686286","126.9861878"
"116","11110","62","4100370","822","5897"," "," ","1","37.5756604","127.0200243"
"118","11110","66","4100243","825","5957"," "," ","1","37.5777031","127.0065227"
"119","11110","73","3100002","391","1588"," "," ","1","37.5756621","127.002375"
"121","11110","280","4100065","681","3771"," "," ","1","37.577494","127.018268"
"122","11110","284","3100007","1959","16998"," "," ","1","37.5776592","126.9802589"
"124","11110","164","4100380","392","1650"," "," ","1","37.5769834","127.01644"
"125","11110","168","4100096","262","1075","가야장여관"," ","1","37.5767704","127.0224514"
"126","11110","169","4100097","395","1711"," "," ","1","37.5769201","127.0229315"
"128","11110","176","4100174","413","1855","짚풀생활사박물관"," ","1","37.5849028","127.0000403"
"130","11110","594","4100364","1007","7625"," "," ","1","37.5749955","127.0175463"
"66","11110","274","4100020","672","3581"," "," ","1","37.5807741","127.0064253"
"8","11110","11","4100344","14","151"," "," ","1","37.5713395","127.011952"
"12","11110","17","4100351","15","171"," "," ","1","37.5731234","127.0116765"
"16","11110","121","3005008","390","1556"," "," ","1","37.5873234","127.0027284"
"19","11110","13","4100344","10","101","대호상사"," ","1","37.5714797","127.0122611"
"23","11110","50","4100176","570","2945"," "," ","1","37.5853556","126.9945115"
"25","11110","82","3100010","686","4280"," "," ","1","37.5760891","126.9987927"
"30","11110","89","4100244","1337","10684"," "," ","1","37.5790947","127.0058974"
"32","11110","154","3100002","391","1608","대학로SJA빌딩"," ","1","37.5791748","127.001779"
"34","11110","279","4100065","681","3706","창신쌍용아파트 1지구"," ","1","37.5806358","127.0139206"
"36","11110","287","3100007","683","3850"," "," ","1","37.5819373","126.9811366"
"39","11110","179","4100233","423","1927","한국유아교육연구원"," ","1","37.574272","127.0070751"
"42","11110","195","4100216","458","2206"," "," ","1","37.573469","126.9922544"
"45","11110","212","2100001","1933","16420"," "," ","1","37.5766984","126.9871156"
"49","11110","226","4100315","509","2546"," "," ","1","37.5697523","126.9943415"
"52","11110","237","3100013","523","2664"," "," ","1","37.5716996","127.0134907"
"55","11110","248","4100412","568","2940"," "," ","1","37.5841218","126.995718"
"58","11110","258","4100321","608","3113"," "," ","1","37.5730434","126.9990848"
"61","11110","269","4100314","641","3338"," "," ","1","37.5697399","126.9931798"
"64","11110","109","4100418","1383","11097"," "," ","1","37.5874108","127.0025756"
"69","11110","194","4100216","458","2208"," "," ","1","37.5733132","126.9923603"
"70","11110","201","4100240","459","2220"," "," ","1","37.5762246","126.9908732"
"71","11110","45","4100167","577","2983"," "," ","1","37.589926","126.9972457"
"75","11110","163","4100380","392","1653","인성실업"," ","1","37.5771999","127.0169694"
"76","11110","185","4100453","443","2043"," "," ","1","37.5734123","127.0101735"
"77","11110","190","3005007","455","2106","주차장"," ","1","37.5703542","127.0154264"
"78","11110","206","4100060","463","2290"," "," ","1","37.5712896","126.9935539"
"79","11110","217","2100001","1734","13633"," "," ","1","37.5705716","126.9866208"
"81","11110","251","4100088","581","2997"," "," ","1","37.5911665","126.9932052"
"82","11110","261","4100045","629","3265"," "," ","1","37.5813422","127.000086"
"84","11110","77","3100002","391","1636"," "," ","1","37.5842373","127.0012746"
"85","11110","113","4100325","1914","15751"," "," ","1","37.571771","127.0047033"
"88","11110","209","4100060","463","2302"," "," ","1","37.5720043","126.9928331"
"89","11110","215","2100001","1933","16406"," "," ","1","37.5740589","126.9877176"
"90","11110","228","4100315","509","2541"," "," ","1","37.5701601","126.9942582"
"91","11110","235","4100199","519","2634"," "," ","1","37.5770606","127.0210448"
"92","11110","107","3100022","690","4575"," "," ","1","37.5879175","126.9999602"
"93","11110","110","4100418","1248","9708"," "," ","1","37.5877184","127.0028003"
"95","11110","117","3005008","3342","28013"," "," ","1","37.57452","126.9972939"
"96","11110","119","3005008","493","2466"," "," ","1","37.5840268","127.0004926"
"97","11110","126","4100143","266","1087"," "," ","1","37.5734182","126.9888169"
"99","11110","3","4100032","4","56"," "," ","1","37.5831263","126.9993809"
"100","11110","6","3100003","1901","15419"," "," ","1","37.5730267","126.991225"
"1","11110","93","3100013","687","4441","상업은행"," ","1","37.5704431","126.998483"
"3","11110","105","3100022","964","7257"," "," ","1","37.5866598","127.0007089"
"4","11110","148","3100002","391","1595","서울사대부속초등학교"," ","1","37.5774753","127.0034983"
"6","11110","115","4100220","207","935"," "," ","1","37.5757883","127.0037642"
"7","11110","129","3100013","359","1344"," "," ","1","37.5703625","126.9993847"
"9","11110","25","4100198","1289","10160"," "," ","1","37.5734487","126.9900856"
"10","11110","272","4100043","654","3474"," "," ","1","37.5818887","127.0035533"
"11","11110","128","4100168","1272","9926","국과인빌딩"," ","1","37.5893647","126.9967192"
"13","11110","26","4100198","725","4908"," "," ","1","37.5732144","126.9899121"
"14","11110","53","4100176","26","395"," "," ","1","37.5868814","126.993779"
"15","11110","221","2100001","1662","12806"," "," ","1","37.570791","126.9861782"
"17","11110","114","4100145","205","929"," "," ","1","37.5740662","126.9896304"
"18","11110","124","4100419","999","7543"," "," ","1","37.5889111","127.0024547"
"20","11110","22","4100416","1350","10816"," "," ","1","37.5838269","127.0008551"
"21","11110","31","4100198","725","4911"," "," ","1","37.5734296","126.989905"
"22","11110","42","4100080","1488","11980"," "," ","1","37.5887493","126.993623"
"24","11110","58","3100021","1409","11292"," "," ","1","37.5690206","126.9939767"
"26","11110","32","4100198","963","7238"," "," ","1","37.5730181","126.9896201"
"27","11110","54","3100021","910","6746"," "," ","1","37.5694974","126.9968453"
"28","11110","60","3100021","684","3994"," "," ","1","37.5685638","126.9900706"
"29","11110","69","3005006","1902","15452","관수빌딩"," ","1","37.5693606","126.9893267"
"31","11110","97","3100013","687","4390"," "," ","1","37.5699504","126.9868049"
"33","11110","276","4100144","673","3591"," "," ","1","37.5735105","126.9888895"
"187","11110","405","4100146","728","4959"," "," ","1","37.5745413","126.9896254"
"188","11110","145","3005008","390","1480"," "," ","1","37.5752309","126.9976604"
"190","11110","428","4100355","760","5245"," "," ","1","37.5715812","127.0142731"
"192","11110","224","3005008","496","2486","서울중앙교회"," ","1","37.5739209","126.9967477"
"193","11110","231","4100086","513","2568"," "," ","1","37.5909152","126.9940164"
"195","11110","160","3100002","391","1583"," "," ","1","37.5747042","127.0017151"
"132","11110","448","4100453","1999","17114"," "," ","1","37.5788502","127.0091188"
"135","11110","259","4100321","3391","28299"," "," ","1","37.5724361","126.9996225"
"137","11110","125","4100419","999","7542"," "," ","1","37.5887764","127.0021434"
"140","11110","40","4100332","18","244","협선빌딩"," ","1","37.5729621","127.0041608"
"142","11110","85","3100010","551","2812"," "," ","1","37.5737409","127.0072261"
"145","11110","152","3100002","391","1606","한국방송통신대학"," ","1","37.5788153","127.0030116"
"148","11110","7","3100003","1901","15421"," "," ","1","37.5734378","126.9914732"
"151","11110","99","3100013","687","4432"," "," ","1","37.5703908","126.9963748"
"155","11110","282","4100099","682","3782"," "," ","1","37.5784542","127.0223754"
"158","11110","186","3005007","454","2105"," "," ","1","37.5770288","127.0148622"
"161","11110","196","4100216","458","2208"," "," ","1","37.5731965","126.992342"
"164","11110","136","3005008","390","1477"," "," ","1","37.5746955","126.9971778"
"167","11110","420","4100383","745","5098"," "," ","1","37.5783853","127.0149278"
"171","11110","205","4100060","463","2293"," "," ","1","37.57144","126.9931558"
"173","11110","214","2100001","1734","13629"," "," ","1","37.5706224","126.9871649"
"176","11110","236","3100013","523","2660"," "," ","1","37.5721245","127.0136921"
"180","11110","257","4100321","609","3117"," "," ","1","37.57158","127.0003435"
"182","11110","270","4100314","641","3346"," "," ","1","37.5689945","126.9937341"
"185","11110","376","3100013","687","4398","탑골공원"," ","1","37.5711877","126.9883376"
"186","11110","389","3100022","690","4599","경신중고등학교"," ","1","37.591636","127.000553"
"189","11110","421","4100383","745","5116","폐기물중간처리장"," ","1","37.578514","127.0124541"
"191","11110","207","4100060","463","2298","대림상가"," ","1","37.5717518","126.9928919"
"194","11110","59","3100021","684","4044"," "," ","1","37.5697841","127.0012929"
"196","11110","288","3100007","683","3886"," "," ","1","37.5882628","126.9815234"
"198","11110","192","3005007","455","2110"," "," ","1","37.5708594","127.0160699"
"199","11110","200","4100240","459","2216"," "," ","1","37.5765814","126.9907707"
"201","11110","418","4100383","1985","17079","창신아파트"," ","1","37.5789291","127.014207"
"203","11110","219","2100001","1866","14894"," "," ","1","37.5742835","126.9879476"
"204","11110","234","4100197","95","617"," "," ","1","37.5719604","126.9900998"
"206","11110","253","4100543","586","3016"," "," ","1","37.5863131","127.0009465"
"208","11110","365","3100013","687","4522","롯데캐슬 천지인"," ","1","37.5738635","127.0162728"
"209","11110","382","3100022","690","4578","혜화초등학교"," ","1","37.588847","127.0000159"
"215","11110","344","3100010","686","4239","비원주유소"," ","1","37.5771454","126.989689"
"218","11110","359","3100013","687","4383","YMCA"," ","1","37.5706362","126.9853192"
"221","11110","372","3100013","687","4416","귀금속도매상가"," ","1","37.570746","126.992587"
"224","11110","381","4100322","877","6425"," "," ","1","37.569803","127.0013189"
"227","11110","295","3100007","683","3873","한국금융연수원"," ","1","37.586124","126.9827009"
"230","11110","310","3100021","910","6743"," "," ","1","37.569268","126.9965923"
"233","11110","331","3100008","685","4190","국민생활관"," ","1","37.5903785","126.9987423"
"235","11110","345","3100010","686","4233"," "," ","1","37.5777604","126.9884633"
"237","11110","351","3100013","687","4481","동대문종합시장"," ","1","37.5704261","127.0077469"
"241","11110","348","3100010","686","4194","트윈 트리 빌딩","Twin tree buildings","1","37.575452","126.980182"
"245","11110","294","3100007","683","3864"," "," ","1","37.5843157","126.9818862"
"247","11110","319","3100008","685","4158"," "," ","1","37.5851912","126.9972812"
"250","11110","349","3100013","687","4529"," "," ","1","37.5737572","127.0176065"
"253","11110","380","3100013","687","4448"," "," ","1","37.57133","126.9997564"
"256","11110","239","4100410","552","2827"," "," ","1","37.5761965","126.9987002"
"259","11110","358","3100013","687","4372","제일은행본점"," ","1","37.5710297","126.9824067"
"262","11110","292","3100007","1637","12689"," "," ","1","37.5834404","126.9819991"
"263","11110","300","3100007","683","3856"," "," ","1","37.5828515","126.9820221"
"265","11110","335","3100010","686","4242","현대오일뱅크","Hyundai Oilbank","1","37.5772588","126.9907114"
"212","11110","434","4100422","765","5296"," "," ","1","37.5809049","126.9886524"
"213","11110","203","4100240","459","2257"," "," ","1","37.5730531","126.9918214"
"214","11110","79","4100344","104","643"," "," ","4","37.5713623","127.0115609"
"216","11110","353","3100013","687","4537"," "," ","1","37.5738694","127.0194809"
"217","11110","357","3100013","687","4400","YBM"," ","1","37.5699661","126.9890118"
"219","11110","363","3100013","687","4466"," "," ","1","37.5707681","127.0041602"
